"Administrative","Administrative_Duration","Informational","Informational_Duration","ProductRelated","ProductRelated_Duration","BounceRates","ExitRates","PageValues","SpecialDay","Month","OperatingSystems","Browser","Region","TrafficType","VisitorType","Weekend","Revenue","Month_encoded","VisitorType_isNew_Visitor","VisitorType_isReturning_Visitor","Session_Duration","Page_Count","Avg_Duration_Per_Page"
"2","18","0","0","5","298","0","0.028571429","0","0.8","Feb","2","2","8","4","Returning_Visitor","0","0","1","0","1","316","7","45.142857142857"
"0","0","0","0","7","63","0.028571429","0.071428571","0","0.6","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","63","7","9"
"0","0","0","0","9","482","0","0.022222222","0","0","Feb","2","5","1","6","Returning_Visitor","0","0","1","0","1","482","9","53.555555555556"
"1","9","0","0","46","4084.393939","0","0.001794872","0","0","Feb","2","2","8","4","Returning_Visitor","0","0","1","0","1","4093.393939","47","87.09348806383"
"0","0","0","0","3","22","0","0.066666667","0","0.6","Feb","1","1","3","2","Returning_Visitor","0","0","1","0","1","22","3","7.3333333333333"
"0","0","0","0","15","310.1666667","0","0.006666667","0","0","Feb","1","1","4","4","Returning_Visitor","0","0","1","0","1","310.1666667","15","20.67777778"
"0","0","0","0","2","34","0","0.05","0","0.4","Feb","3","2","2","3","Returning_Visitor","0","0","1","0","1","34","2","17"
"0","0","0","0","4","88","0","0.05","0","0","Feb","4","1","1","3","Returning_Visitor","0","0","1","0","1","88","4","22"
"0","0","0","0","22","622.25","0.003030303","0.006060606","0","0.2","Feb","2","5","1","4","Returning_Visitor","0","0","1","0","1","622.25","22","28.284090909091"
"0","0","0","0","14","222.4","0.017142857","0.057142857","0","0","Feb","1","1","1","2","Returning_Visitor","0","0","1","0","1","222.4","14","15.885714285714"
"0","0","0","0","3","80","0.066666667","0.133333333","0","0.2","Feb","3","2","1","3","Returning_Visitor","0","0","1","0","1","80","3","26.666666666667"
"0","0","0","0","11","800.8333333","0","0.003636364","0","0","Feb","3","2","1","3","Returning_Visitor","0","0","1","0","1","800.8333333","11","72.8030303"
"0","0","0","0","1","0","0.2","0.2","0","0.6","Feb","2","2","3","2","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","1","1","3","4","Returning_Visitor","1","0","1","0","1","0","1","0"
"0","0","0","0","12","265.1666667","0.011111111","0.026111111","0","0.2","Feb","3","2","1","3","Returning_Visitor","0","0","1","0","1","265.1666667","12","22.097222225"
"0","0","0","0","2","29","0","0.1","0","1","Feb","2","4","4","2","Returning_Visitor","1","0","1","0","1","29","2","14.5"
"0","0","0","0","4","160","0","0.075","0","0","Feb","4","2","2","3","Returning_Visitor","0","0","1","0","1","160","4","40"
"0","0","0","0","4","135.6666667","0.05","0.025","0","0.4","Feb","3","3","1","4","Returning_Visitor","0","0","1","0","1","135.6666667","4","33.916666675"
"0","0","0","0","1","0","0.2","0.2","0","0.2","Feb","2","4","1","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","1","0","0.2","0.2","0","0.6","Feb","3","2","3","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"4","56","2","120","36","998.7416667","0","0.014736467","19.44707913","0.2","Feb","2","2","4","1","Returning_Visitor","0","0","1","0","1","1174.7416667","42","27.970039683333"
"0","0","0","0","4","104","0","0.05","0","0.4","Feb","2","6","6","3","Returning_Visitor","0","0","1","0","1","104","4","26"
"2","16","0","0","16","381.6865079","0.011764706","0.046568627","0","0.6","Feb","2","4","2","1","Returning_Visitor","0","0","1","0","1","397.6865079","18","22.093694883333"
"0","0","0","0","6","169","0","0.016666667","0","0.4","Feb","1","1","3","3","Returning_Visitor","0","0","1","0","1","169","6","28.166666666667"
"0","0","0","0","8","400.8","0.05","0.120833333","0","0","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","400.8","8","50.1"
"12","279.4166667","0","0","42","1553.583333","0.009","0.019666667","38.30849268","0","Feb","1","1","3","2","Returning_Visitor","0","0","1","0","1","1832.9999997","54","33.944444438889"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","2","2","4","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"4","44","0","0","90","6951.972222","0.002150538","0.015013034","0","0","Feb","4","1","1","3","Returning_Visitor","0","0","1","0","1","6995.972222","94","74.425236404255"
"0","0","0","0","1","0","0.2","0.2","0","0.6","Feb","2","2","5","1","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","1","0","0.2","0.2","0","0.2","Feb","3","2","3","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","2","6","1","2","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","20","197.3777778","0.025","0.0525","0","0","Feb","2","6","6","1","Returning_Visitor","0","0","1","0","1","197.3777778","20","9.86888889"
"0","0","0","0","2","43","0","0.1","0","0.4","Feb","2","2","3","3","Returning_Visitor","0","0","1","0","1","43","2","21.5"
"0","0","0","0","8","426.6666667","0","0.0125","0","0","Feb","2","4","3","2","Returning_Visitor","0","0","1","0","1","426.6666667","8","53.3333333375"
"0","0","0","0","3","135","0","0.066666667","0","0","Feb","2","4","3","3","Returning_Visitor","0","0","1","0","1","135","3","45"
"0","0","0","0","16","588.3333333","0","0.025","0","0","Feb","2","4","1","1","Returning_Visitor","0","0","1","0","1","588.3333333","16","36.77083333125"
"10","1005.666667","0","0","36","2111.341667","0.004347826","0.014492754","11.43941195","0","Feb","2","6","1","2","Returning_Visitor","0","1","1","0","1","3117.008334","46","67.76105073913"
"0","0","0","0","2","76","0","0.05","0","0.6","Feb","3","2","3","3","Returning_Visitor","0","0","1","0","1","76","2","38"
"0","0","0","0","1","0","0.2","0.2","0","1","Feb","1","1","1","3","Returning_Visitor","1","0","1","0","1","0","1","0"
"0","0","0","0","1","0","0.2","0.2","0","0.4","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","7","208","0","0.028571429","0","0","Feb","4","1","1","5","Returning_Visitor","1","0","1","0","1","208","7","29.714285714286"
"0","0","0","0","4","270","0","0.016666667","0","0.8","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","270","4","67.5"
"0","0","0","0","6","39.5","0","0.02","0","0","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","39.5","6","6.5833333333333"
"0","0","0","0","12","375","0.016666667","0.058333333","0","0","Feb","3","2","4","1","Returning_Visitor","0","0","1","0","1","375","12","31.25"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","7","150","0.057142857","0.085714286","0","0","Feb","2","2","2","1","Returning_Visitor","0","0","1","0","1","150","7","21.428571428571"
"0","0","0","0","3","138","0","0.066666667","0","0","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","138","3","46"
"0","0","0","0","7","337.5","0.028571429","0.023809524","0","0.4","Feb","4","1","3","3","Returning_Visitor","0","0","1","0","1","337.5","7","48.214285714286"
"0","0","0","0","19","620.0333333","0","0.007894737","0","0","Feb","1","1","4","2","Returning_Visitor","0","0","1","0","1","620.0333333","19","32.633333331579"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","1","1","1","2","Returning_Visitor","1","0","1","0","1","0","1","0"
"0","0","0","0","2","52","0","0.1","0","0","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","52","2","26"
"0","0","0","0","13","649.25","0","0.015384615","0","0","Feb","2","2","1","5","New_Visitor","0","0","1","1","0","649.25","13","49.942307692308"
"0","0","0","0","27","925.3333333","0.003703704","0.025925926","0","0.6","Feb","4","1","3","3","Returning_Visitor","0","0","1","0","1","925.3333333","27","34.271604937037"
"0","0","0","0","2","33","0","0.1","0","0.2","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","33","2","16.5"
"0","0","0","0","6","1566.5","0.05","0.066666667","0","0.2","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","1566.5","6","261.08333333333"
"0","0","1","0","7","50","0.038095238","0.080952381","0","0.6","Feb","2","4","1","7","Returning_Visitor","0","0","1","0","1","50","8","6.25"
"3","18.33333333","0","0","38","2635.177778","0","0.008947368","0","0.4","Feb","2","4","1","2","Returning_Visitor","0","0","1","0","1","2653.51111133","41","64.719783203171"
"0","0","0","0","6","415","0","0.033333333","0","0.4","Feb","1","1","3","2","Returning_Visitor","0","0","1","0","1","415","6","69.166666666667"
"2","31","1","16","36","2083.530952","0","0.01351025","0","0.8","Feb","2","2","4","3","Returning_Visitor","0","0","1","0","1","2130.530952","39","54.628998769231"
"3","58.5","0","0","17","281.6666667","0.007058824","0.017647059","0","0","Feb","1","1","3","4","Returning_Visitor","0","0","1","0","1","340.1666667","20","17.008333335"
"0","0","0","0","2","27","0.15","0.15","0","0","Feb","1","1","7","2","Returning_Visitor","0","0","1","0","1","27","2","13.5"
"0","0","1","0","9","215","0.044444444","0.074074074","0","0.8","Feb","4","1","1","3","Returning_Visitor","0","0","1","0","1","215","10","21.5"
"0","0","0","0","12","162","0.05","0.066666667","0","0","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","162","12","13.5"
"0","0","0","0","2","114","0.05","0.066666667","0","0.8","Feb","3","3","1","3","Returning_Visitor","0","0","1","0","1","114","2","57"
"6","326.25","4","94","128","5062.213753","0.000854701","0.01791847","0","0","Feb","2","5","1","3","Returning_Visitor","0","0","1","0","1","5482.463753","138","39.727998210145"
"0","0","0","0","4","253","0","0.016666667","0","0.6","Feb","2","2","3","3","Returning_Visitor","0","0","1","0","1","253","4","63.25"
"0","0","0","0","4","0","0.2","0.2","0","0.4","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","0","4","0"
"0","0","0","0","1","0","0.2","0.2","0","0.8","Feb","1","1","2","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"2","22","0","0","25","436.5","0.008","0.024","0","0.2","Feb","2","4","1","1","Returning_Visitor","0","0","1","0","1","458.5","27","16.981481481481"
"0","0","1","93","30","1045.833333","0.012903226","0.035483871","0","0.2","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","1138.833333","31","36.736559129032"
"0","0","0","0","12","317.8333333","0","0.005555556","0","0","Feb","1","1","1","4","Returning_Visitor","1","0","1","0","1","317.8333333","12","26.486111108333"
"0","0","0","0","11","577","0.018181818","0.027272727","0","0.2","Feb","2","2","3","1","Returning_Visitor","0","0","1","0","1","577","11","52.454545454545"
"0","0","0","0","8","95","0","0.075","0","0","Feb","4","1","3","3","Returning_Visitor","0","0","1","0","1","95","8","11.875"
"0","0","0","0","6","243","0","0.033333333","0","0","Feb","2","4","4","1","Returning_Visitor","0","0","1","0","1","243","6","40.5"
"0","0","0","0","4","135.5","0","0.05","0","0.6","Feb","2","2","1","2","Returning_Visitor","0","0","1","0","1","135.5","4","33.875"
"0","0","0","0","3","41","0","0.066666667","0","0","Feb","1","1","3","3","Returning_Visitor","0","0","1","0","1","41","3","13.666666666667"
"0","0","0","0","11","292.9","0.028","0.11952381","0","0","Feb","2","4","3","1","Returning_Visitor","0","0","1","0","1","292.9","11","26.627272727273"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","1","1","3","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","9","1238.333333","0","0.040740741","0","0.4","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","1238.333333","9","137.59259255556"
"0","0","0","0","10","225.4666667","0","0.05","0","0.4","Feb","1","1","8","3","Returning_Visitor","0","0","1","0","1","225.4666667","10","22.54666667"
"0","0","0","0","3","13","0.133333333","0.166666667","0","0","Feb","2","4","1","1","Returning_Visitor","0","0","1","0","1","13","3","4.3333333333333"
"0","0","0","0","2","222","0","0.1","0","0","Feb","2","6","1","2","Returning_Visitor","1","0","1","0","1","222","2","111"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","3","2","3","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","6","2017.166667","0","0.011111111","0","0.8","Feb","2","2","4","3","Returning_Visitor","0","0","1","0","1","2017.166667","6","336.1944445"
"0","0","0","0","6","158.1666667","0","0.033333333","0","0","Feb","3","2","4","2","Returning_Visitor","0","0","1","0","1","158.1666667","6","26.361111116667"
"0","0","0","0","9","303.6666667","0.005555556","0.046296296","0","0","Feb","2","4","5","2","Returning_Visitor","0","0","1","0","1","303.6666667","9","33.740740744444"
"0","0","0","0","3","25","0","0.066666667","0","0","Feb","2","4","1","5","Returning_Visitor","0","0","1","0","1","25","3","8.3333333333333"
"4","103.625","0","0","14","1003.416667","0","0.018039216","0","0.2","Feb","1","1","3","3","Returning_Visitor","0","0","1","0","1","1107.041667","18","61.502314833333"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","2","2","7","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","9","272.5","0","0.011851852","0","0.2","Feb","1","1","6","3","Returning_Visitor","0","0","1","0","1","272.5","9","30.277777777778"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","2","2","2","3","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","1","19","10","852","0","0.009090909","0","0","Feb","2","2","3","6","Returning_Visitor","0","0","1","0","1","871","11","79.181818181818"
"0","0","0","0","3","1038","0","0.033333333","0","0","Feb","2","2","1","1","Returning_Visitor","0","0","1","0","1","1038","3","346"
"0","0","0","0","4","573","0","0.05","0","0","Feb","2","2","3","3","Returning_Visitor","0","0","1","0","1","573","4","143.25"
"0","0","0","0","28","1231.233333","0.007142857","0.030357143","0","0","Feb","1","1","4","3","Returning_Visitor","0","0","1","0","1","1231.233333","28","43.972619035714"
"0","0","0","0","11","316.6666667","0","0.027272727","0","0.8","Feb","2","2","2","1","Returning_Visitor","0","0","1","0","1","316.6666667","11","28.787878790909"
"0","0","0","0","20","873.7365079","0.0075","0.028166667","0","0","Feb","1","2","1","1","Returning_Visitor","0","0","1","0","1","873.7365079","20","43.686825395"
"0","0","0","0","1","0","0.2","0.2","0","0.4","Feb","2","2","3","4","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","4","16","0.1","0.15","0","0","Feb","2","5","5","1","Returning_Visitor","0","0","1","0","1","16","4","4"
"0","0","0","0","19","615","0","0.026315789","0","0.2","Feb","2","2","3","3","Returning_Visitor","0","0","1","0","1","615","19","32.368421052632"
"0","0","0","0","9","261.75","0","0.026666667","0","0","Feb","2","6","1","1","Returning_Visitor","0","0","1","0","1","261.75","9","29.083333333333"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","3","3","3","2","Returning_Visitor","1","0","1","0","1","0","1","0"
"0","0","0","0","6","117.5","0","0.033333333","0","0.8","Feb","1","1","1","3","Returning_Visitor","1","0","1","0","1","117.5","6","19.583333333333"
"0","0","0","0","23","501.6666667","0.008695652","0.01884058","0","0.6","Feb","1","1","4","2","Returning_Visitor","0","0","1","0","1","501.6666667","23","21.811594204348"
"2","58","2","22","31","829.1666667","0.03030303","0.040606061","0","0","Feb","1","1","1","1","Returning_Visitor","1","0","1","0","1","909.1666667","35","25.976190477143"
"1","9.5","0","0","23","1223","0.015217391","0.012463768","0","0","Feb","1","1","1","2","Returning_Visitor","1","0","1","0","1","1232.5","24","51.354166666667"
"0","0","0","0","6","467","0","0.016666667","0","0.4","Feb","1","1","3","3","Returning_Visitor","0","0","1","0","1","467","6","77.833333333333"
"0","0","0","0","23","737.1666667","0.008695652","0.011594203","0","0.6","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","737.1666667","23","32.05072463913"
"0","0","0","0","12","129","0","0.033333333","0","0","Feb","1","1","3","2","Returning_Visitor","0","0","1","0","1","129","12","10.75"
"0","0","0","0","5","63","0","0.04","0","0","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","63","5","12.6"
"0","0","0","0","5","125","0.086666667","0.166666667","0","0","Feb","2","2","1","3","Returning_Visitor","0","0","1","0","1","125","5","25"
"0","0","0","0","20","665.4722222","0","0.0145","0","0.8","Feb","3","2","7","4","Returning_Visitor","1","0","1","0","1","665.4722222","20","33.27361111"
"0","0","0","0","17","437.1666667","0.011111111","0.033333333","0","0","Feb","2","4","1","3","Returning_Visitor","0","0","1","0","1","437.1666667","17","25.715686276471"
"0","0","0","0","3","55","0.066666667","0.1","0","0.6","Feb","1","1","1","3","Returning_Visitor","0","0","1","0","1","55","3","18.333333333333"
"0","0","0","0","1","0","0.2","0.2","0","0.8","Feb","1","1","1","2","Returning_Visitor","1","0","1","0","1","0","1","0"
"5","41.3","0","0","24","446.9277778","0","0.008602151","0","1","Feb","2","2","8","1","Returning_Visitor","1","0","1","0","1","488.2277778","29","16.835440613793"
"3","87","0","0","10","320.5","0","0.015384615","0","0","Feb","1","1","2","3","Returning_Visitor","0","0","1","0","1","407.5","13","31.346153846154"
"0","0","0","0","7","666","0","0.014285714","0","0","Feb","1","1","6","2","Returning_Visitor","0","0","1","0","1","666","7","95.142857142857"
"1","0","0","0","21","405.7095238","0.010743802","0.047002635","0","0","Feb","1","1","1","4","Returning_Visitor","0","0","1","0","1","405.7095238","22","18.441341990909"
"0","0","0","0","6","163.25","0.033333333","0.033333333","0","0.6","Feb","1","1","6","2","Returning_Visitor","0","0","1","0","1","163.25","6","27.208333333333"
"0","0","0","0","1","0","0.2","0.2","0","0","Feb","2","4","1","1","Returning_Visitor","0","0","1","0","1","0","1","0"
"0","0","0","0","8","260","0.008333333","0.025","0","0.8","Feb","3","2","1","3","Returning_Visitor","1","0","1","0","1","260","8","32.5"
"0","0","16","1210.397619","5","279.8571429","0.003174603","0.012764202","0","0","Mar","2","2","1","8","Returning_Visitor","0","0","2","0","1","1490.2547619","21","70.964512471429"
"0","0","0","0","20","927.45","0.011111111","0.027248677","8.000740741","0","Mar","1","1","3","1","Returning_Visitor","0","0","2","0","1","927.45","20","46.3725"
"2","9","0","0","50","836.8","0","0.006339869","0","0","Mar","2","2","3","2","Returning_Visitor","0","0","2","0","1","845.8","52","16.265384615385"
"10","293.7782051","2","153","96","3283.166739","0.001960784","0.013509414","0","0","Mar","3","2","6","2","Returning_Visitor","1","0","2","0","1","3729.9449441","108","34.536527260185"
"9","111.5","1","48.5","49","1868.819697","0","0.020708874","1.706014966","0","Mar","2","2","7","2","Returning_Visitor","0","1","2","0","1","2028.819697","59","34.386774525424"
"3","47","1","51","68","3008.124108","0.007142857","0.016727891","46.53017511","0","Mar","2","2","1","1","Returning_Visitor","0","0","2","0","1","3106.124108","72","43.140612611111"
"0","0","0","0","2","0","0.2","0.2","0","0","Mar","1","1","1","3","Returning_Visitor","0","0","2","0","1","0","2","0"
"3","1226","5","3","24","3230.25","0.036190476","0.096","0","0","Mar","2","2","1","2","Returning_Visitor","0","0","2","0","1","4459.25","32","139.3515625"
"3","52","0","0","9","319","0","0.02","0","0","Mar","1","1","1","1","Returning_Visitor","0","0","2","0","1","371","12","30.916666666667"
"0","0","0","0","3","42","0","0.066666667","0","0","Mar","2","2","3","1","Returning_Visitor","0","0","2","0","1","42","3","14"
"0","0","0","0","22","354.3333333","0.009090909","0.057662338","0","0","Mar","1","1","7","2","Returning_Visitor","1","0","2","0","1","354.3333333","22","16.106060604545"
"0","0","0","0","98","3556.61241","0.002061856","0.010173465","0","0","Mar","1","1","1","3","Returning_Visitor","0","0","2","0","1","3556.61241","98","36.291963367347"
"2","56","1","144","67","2563.783333","0","0.005797101","19.34265017","0","Mar","2","2","4","2","New_Visitor","0","1","2","1","0","2763.783333","70","39.482619042857"
"3","112.9607843","0","0","13","3014.018519","0.013068182","0.06140625","0","0","Mar","2","2","1","2","Returning_Visitor","0","0","2","0","1","3126.9793033","16","195.43620645625"
"0","0","0","0","17","840.2333333","0","0.001666667","109.176","0","Mar","2","2","9","2","New_Visitor","0","1","2","1","0","840.2333333","17","49.425490194118"
"3","94","2","125","55","1970.844805","0","0.001724138","96.25511582","0","Mar","2","4","1","2","New_Visitor","1","1","2","1","0","2189.844805","60","36.497413416667"
"1","32","0","0","50","2867","0","0.004","153.4432478","0","Mar","2","2","7","8","Returning_Visitor","1","1","2","0","1","2899","51","56.843137254902"
"0","0","0","0","3","133.5","0","0.088888889","0","0","Mar","1","2","1","8","Returning_Visitor","0","0","2","0","1","133.5","3","44.5"
"3","281","0","0","16","453.75","0","0.005263158","0","0","Mar","2","2","5","2","New_Visitor","0","0","2","1","0","734.75","19","38.671052631579"
"3","107","0","0","4","145.8333333","0","0.016666667","0","0","Mar","3","2","7","1","New_Visitor","0","0","2","1","0","252.8333333","7","36.119047614286"
"0","0","0","0","8","731","0","0.04375","0","0","Mar","2","4","1","3","Returning_Visitor","0","0","2","0","1","731","8","91.375"
"2","49","1","127","4","188","0.033333333","0.0375","0","0","Mar","3","2","3","2","Returning_Visitor","0","0","2","0","1","364","7","52"
"0","0","0","0","14","565.3333333","0.037619048","0.04952381","0","0","Mar","2","6","3","1","Returning_Visitor","0","0","2","0","1","565.3333333","14","40.380952378571"
"0","0","0","0","2","50","0","0.05","0","0","Mar","3","2","8","11","Returning_Visitor","0","0","2","0","1","50","2","25"
"4","57","0","0","7","591","0.006666667","0.033333333","0","0","Mar","1","2","6","6","Returning_Visitor","1","0","2","0","1","648","11","58.909090909091"
"2","2","3","261","10","281","0","0.042857143","0","0","Mar","2","2","1","2","Returning_Visitor","0","0","2","0","1","544","15","36.266666666667"
"2","123","2","306.3333333","18","483.8333333","0","0.02","0","0","Mar","2","2","4","1","Returning_Visitor","0","0","2","0","1","913.1666666","22","41.507575754545"
"2","118","0","0","4","42","0","0.066666667","0","0","Mar","1","2","7","3","Returning_Visitor","0","0","2","0","1","160","6","26.666666666667"
"0","0","0","0","35","1192.386111","0.005714286","0.028571429","0","0","Mar","2","4","2","2","Returning_Visitor","0","0","2","0","1","1192.386111","35","34.0681746"
"0","0","0","0","12","198","0.016666667","0.075","0","0","Mar","2","2","3","2","Returning_Visitor","0","0","2","0","1","198","12","16.5"
"0","0","0","0","3","15","0","0.066666667","0","0","Mar","2","4","3","12","Returning_Visitor","0","0","2","0","1","15","3","5"
"2","38","0","0","14","643","0","0.013333333","35.0928","0","Mar","2","2","5","1","Returning_Visitor","0","1","2","0","1","681","16","42.5625"
"0","0","0","0","5","23","0.08","0.12","0","0","Mar","2","2","1","1","Returning_Visitor","0","0","2","0","1","23","5","4.6"
"0","0","0","0","4","14","0.1","0.15","0","0","Mar","3","2","1","1","Returning_Visitor","0","0","2","0","1","14","4","3.5"
"1","54","0","0","6","210.5","0","0.02","0","0","Mar","2","2","1","8","New_Visitor","0","0","2","1","0","264.5","7","37.785714285714"
"1","993","0","0","28","1529.30467","0.001481481","0.009150327","0","0","Mar","3","2","4","2","Returning_Visitor","0","0","2","0","1","2522.30467","29","86.976023103448"
"0","0","0","0","2","19","0","0.1","0","0","Mar","2","2","3","11","Returning_Visitor","1","0","2","0","1","19","2","9.5"
"5","74.25","2","84","37","1599.083333","0","0.006578947","0","0","Mar","2","2","4","1","Returning_Visitor","0","0","2","0","1","1757.333333","44","39.939393931818"
"0","0","0","0","9","102.5","0","0.022222222","0","0","Mar","2","2","1","3","Returning_Visitor","0","0","2","0","1","102.5","9","11.388888888889"
"0","0","0","0","16","2337","0","0.013333333","17.76266667","0","Mar","2","2","1","1","Returning_Visitor","0","1","2","0","1","2337","16","146.0625"
"0","0","0","0","19","1883.5","0.010526316","0.021052632","0","0","Mar","2","2","1","3","Returning_Visitor","0","0","2","0","1","1883.5","19","99.131578947368"
